relative_path,format,original_width,original_height,crop_top,crop_bottom,crop_left,crop_right,inner_left,inner_top,inner_right,inner_bottom,corner_shadow_candidate,status
commands/feishu/images/addrowtolarkspreadsheetcommand-03.png,PNG,820,213,0,0,0,0,,,,,no,unchanged
commands/feishu/images/addrowtolarkspreadsheetcommand-04.png,PNG,416,278,0,0,0,0,48,7,358,269,yes,inner_frame_candidate
commands/feishu/images/batchaddlarkbitablerecordcommand-01.png,PNG,641,513,0,0,0,0,,,,,no,unchanged
commands/feishu/images/batchaddlarkbitablerecordcommand-02.png,PNG,894,156,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/batchaddlarkbitablerecordcommand-03.png,PNG,644,506,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/batchaddlarkbitablerecordcommand-04.png,PNG,1308,247,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/batchaddlarkbitablerecordcommand-05.png,PNG,952,229,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/connecttolarkbitablecommand-01.png,PNG,648,417,0,0,0,0,,,,,no,unchanged
commands/feishu/images/connecttolarkbitablecommand-02.png,PNG,1093,188,0,0,0,0,,,,,no,unchanged
commands/feishu/images/copylarkspreadsheetcommand-01.png,PNG,648,400,0,0,0,0,,,,,no,unchanged
commands/feishu/images/copylarkspreadsheetcommand-02.png,PNG,960,190,0,0,0,0,,,,,no,unchanged
commands/feishu/images/copylarkspreadsheetcommand-03.png,PNG,1010,212,0,0,0,0,,,,,no,unchanged
commands/feishu/images/copylarkspreadsheetcommand-04.png,PNG,474,254,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/copylarkspreadsheetcommand-05.png,PNG,462,257,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/deletecolumnfromlarkspreadsheetcommand-01.png,PNG,648,299,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletecolumnfromlarkspreadsheetcommand-02.png,PNG,842,209,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletecolumnfromlarkspreadsheetcommand-03.png,PNG,227,99,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/deletecolumnfromlarkspreadsheetcommand-04.png,PNG,849,194,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletecolumnfromlarkspreadsheetcommand-05.png,PNG,303,100,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/deletelarkbitabledatatablecommand-01.png,PNG,657,359,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitabledatatablecommand-02.png,PNG,911,270,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitabledatatablecommand-03.png,PNG,963,279,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablefieldcommand-01.png,PNG,1043,389,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablefieldcommand-02.png,PNG,1033,178,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablefieldcommand-03.png,PNG,660,471,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablefieldcommand-04.png,JPEG,1315,90,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablefieldcommand-05.png,PNG,1072,76,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablerecordcommand-01.png,PNG,657,474,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablerecordcommand-02.png,PNG,1134,215,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablerecordcommand-03.png,PNG,1093,202,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitablerecordcommand-04.png,PNG,1075,132,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitableviewcommand-01.png,PNG,962,260,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitableviewcommand-02.png,PNG,1062,248,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deletelarkbitableviewcommand-03.png,PNG,658,471,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/deleterowfromlarkspreadsheetcommand-01.png,PNG,227,99,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/deleterowfromlarkspreadsheetcommand-02.png,PNG,850,192,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deleterowfromlarkspreadsheetcommand-03.png,PNG,227,99,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/deleterowfromlarkspreadsheetcommand-04.png,PNG,842,186,0,0,0,0,,,,,no,unchanged
commands/feishu/images/deleterowfromlarkspreadsheetcommand-05.png,PNG,648,299,0,0,0,0,,,,,no,unchanged
commands/feishu/images/findlarkspreadsheetcellcommand-01.png,PNG,829,213,0,0,0,0,,,,,no,unchanged
commands/feishu/images/findlarkspreadsheetcellcommand-02.png,PNG,853,248,0,0,0,0,,,,,no,unchanged
commands/feishu/images/findlarkspreadsheetcellcommand-03.png,PNG,648,527,0,0,0,0,,,,,no,unchanged
commands/feishu/images/findlarkspreadsheetcellcommand-04.png,PNG,239,105,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/getlarkaccesstokencommand-01.png,PNG,850,210,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkaccesstokencommand-02.png,PNG,853,157,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkaccesstokencommand-03.png,PNG,647,411,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitabledatatablecommand-01.png,PNG,654,346,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitabledatatablecommand-02.png,PNG,887,186,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/getlarkbitabledatatablecommand-03.png,PNG,968,229,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitabledatatablecommand-04.png,PNG,1382,493,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/getlarkbitablefieldcommand-01.png,PNG,653,456,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitablefieldcommand-02.png,PNG,1330,638,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitablefieldcommand-03.png,PNG,1320,227,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitablefieldcommand-04.png,PNG,660,479,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitablefieldcommand-05.png,PNG,1322,170,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitablerecordcommand-01.png,PNG,1103,251,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitablerecordcommand-02.png,PNG,1092,168,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitablerecordcommand-03.png,PNG,641,500,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitableviewcommand-01.png,PNG,960,194,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitableviewcommand-02.png,PNG,1027,345,0,0,0,0,,,,,no,unchanged
